"","Coin.Name..Code.","Price","Change..24h.","Market.Cap","Volume..24h.","Buy.Coin"
"21","Elrond(EGLD)","<U+20B9> 10,722","<U+25BC>
                  -51.93               -0.48%","<U+20B9> 189.6B","<U+20B9> 7.3B","Buy on CoinSwitch &plus;4 options"
"22","Dash(DASH)","<U+20B9> 19,070","<U+25BC>
                  -925               -4.63%","<U+20B9> 184.0B","<U+20B9> 34.8B","Buy on CoinSwitch &plus;5 options"
"23","Zcash(ZEC)","<U+20B9> 11,125","<U+25BC>
                  -559.55               -4.79%","<U+20B9> 139.3B","<U+20B9> 358.4M","Buy on Coinbase &plus;3 options"
"24","NEM(XEM)","<U+20B9> 15.31","<U+25BC>
                  -0.61               -3.86%","<U+20B9> 128.3B","<U+20B9> 8.1B","Buy on CoinSwitch &plus;5 options"
"25","Zilliqa(ZIL)","<U+20B9> 8.60","<U+25B2>
                  +0.01               +0.16%","<U+20B9> 89.6B","<U+20B9> 12.9B","Buy on CoinSwitch &plus;6 options"
"26","Qtum(QTUM)","<U+20B9> 893.90","<U+25BC>
                  -58.74               -6.17%","<U+20B9> 88.5B","<U+20B9> 364.9M","Buy on Coinbase &plus;3 options"
"27","Augur(REP)","<U+20B9> 2,116.37","<U+25BC>
                  -113.6               -5.07%","<U+20B9> 21.8B","<U+20B9> 4.0B","Buy on CoinSwitch &plus;4 options"
"28","Baby Doge Coin(BABYDOGE)","<U+20B9> 0.00000009","<U+25BC>
                  0.00000000               -3.97%","<U+20B9> 17.1B","<U+20B9> 347.6M","Buy on CoinMarketCap &plus;1 option"
"29","DIA(DIA)","<U+20B9> 151.33","<U+25BC>
                  -7.51               -4.73%","<U+20B9> 5.9B","<U+20B9> 1.7B","Buy on CoinSwitch &plus;3 options"
"30","Bitcoin Hedge(BTCHG)","<U+20B9> 222.75","<U+25BC>
                  -0.02               -0.01%","-","<U+20B9> 0.00000001","Buy on CoinMarketCap &plus;1 option"
