"","Coin.Name..Code.","Price","Change..24h.","Market.Cap","Volume..24h.","Buy.Coin"
"1","Bitcoin(BTC)","<U+20B9> 36,94,066","<U+25BC>
                  -75,020               -1.99%","<U+20B9> 66.0T","<U+20B9> 2.4T","Buy on CoinSwitch &plus;9 options"
"2","Ethereum(ETH)","<U+20B9> 2,44,690","<U+25BC>
                  -4,870               -1.95%","<U+20B9> 27.0T","<U+20B9> 1.5T","Buy on CoinSwitch &plus;8 options"
"3","Cardano(ADA)","<U+20B9> 203.52","<U+25BC>
                  -12.9               -5.61%","<U+20B9> 6.3T","<U+20B9> 688.8B","Buy on CoinSwitch &plus;7 options"
"4","Tether(USDT)","<U+20B9> 79.28","<U+25B2>
                  +0.60               +0.77%","<U+20B9> 4.9T","<U+20B9> 6.1T","Buy on CoinSwitch &plus;6 options"
"5","Ripple(XRP)","<U+20B9> 88.32","<U+25BC>
                  -2.55               -2.81%","<U+20B9> 3.9T","<U+20B9> 444.3B","Buy on CoinSwitch &plus;7 options"
"6","Dogecoin(DOGE)","<U+20B9> 21.76","<U+25BC>
                  -1.16               -5.07%","<U+20B9> 2.7T","<U+20B9> 248.8B","Buy on CoinSwitch &plus;7 options"
"7","Polkadot(DOT)","<U+20B9> 1,944.2","<U+25BC>
                  -89.19               -4.39%","<U+20B9> 1.8T","<U+20B9> 169.8B","Buy on CoinSwitch &plus;5 options"
"8","Uniswap(UNI)","<U+20B9> 2,041.86","<U+25BC>
                  -60.57               -2.88%","<U+20B9> 1.2T","<U+20B9> 32.2B","Buy on CoinSwitch &plus;5 options"
"9","Bitcoin Cash(BCH)","<U+20B9> 45,710","<U+25BC>
                  -2,331.46               -4.85%","<U+20B9> 860.8B","<U+20B9> 3.2B","Buy on Coinbase &plus;6 options"
"10","Chainlink(LINK)","<U+20B9> 1,974.5","<U+25BC>
                  -102.55               -4.94%","<U+20B9> 846.1B","<U+20B9> 116.0B","Buy on CoinSwitch &plus;7 options"
"11","Litecoin(LTC)","<U+20B9> 13,399","<U+25BC>
                  -409               -2.96%","<U+20B9> 845.8B","<U+20B9> 149.1B","Buy on CoinSwitch &plus;7 options"
"12","Stellar(XLM)","<U+20B9> 26.87","<U+25BC>
                  -1.4               -3.72%","<U+20B9> 601.0B","<U+20B9> 49.6B","Buy on CoinSwitch &plus;6 options"
"13","TRON(TRX)","<U+20B9> 6.63","<U+25BC>
                  -0.14               -2.00%","<U+20B9> 443.3B","<U+20B9> 102.6B","Buy on CoinSwitch &plus;7 options"
"14","Monero(XMR)","<U+20B9> 20,500","<U+25BC>
                  -3,281.50               -13.80%","<U+20B9> 392.9B","<U+20B9> 1.9M","Buy on Bitbns &plus;4 options"
"15","EOS(EOS)","<U+20B9> 389.18","<U+25BC>
                  -13.59               -3.37%","<U+20B9> 351.5B","<U+20B9> 132.6B","Buy on CoinSwitch &plus;6 options"
"16","Cosmos(ATOM)","<U+20B9> 1,441.43","<U+25BC>
                  -119.74               -7.67%","<U+20B9> 305.3B","<U+20B9> 40.0B","Buy on CoinSwitch &plus;4 options"
"17","NEO(NEO)","<U+20B9> 4,177.8","<U+25BC>
                  -213.71               -4.87%","<U+20B9> 278.3B","<U+20B9> 49.7B","Buy on CoinSwitch &plus;5 options"
"18","Bitcoin SV(BSV)","<U+20B9> 11,652","<U+25BC>
                  -448.59               -3.71%","<U+20B9> 219.5B","<U+20B9> 358.0M","Buy on Coinbase &plus;2 options"
"19","Shiba Inu(SHIB)","<U+20B9> 0.000529","<U+25BC>
                  -0.000036               -6.46%","<U+20B9> 208.7B","<U+20B9> 351.7M","Buy on Coinbase &plus;4 options"
"20","IOTA(MIOTA)","<U+20B9> 74.75","<U+25BC>
                  -4.26               -5.39%","<U+20B9> 208.1B","<U+20B9> 5.8B","Buy on BuyUcoin &plus;1 option"
