"","Coin.Name..Code.","Price","Change..24h.","Market.Cap","Volume..24h.","Buy.Coin"
"1","Bitcoin(BTC)","<U+20B9> 37,34,323","<U+25BC>
                  -1,09,888               -2.86%","<U+20B9> 66.0T","<U+20B9> 2.4T","Buy on CoinSwitch &plus;9 options"
"2","Ethereum(ETH)","<U+20B9> 2,46,059","<U+25BC>
                  -12,278               -4.75%","<U+20B9> 27.0T","<U+20B9> 1.5T","Buy on CoinSwitch &plus;8 options"
"3","Cardano(ADA)","<U+20B9> 209.99","<U+25BC>
                  -14.41               -6.42%","<U+20B9> 6.3T","<U+20B9> 688.8B","Buy on CoinSwitch &plus;7 options"
"4","Tether(USDT)","<U+20B9> 78.86","<U+25B2>
                  +0.68               +0.87%","<U+20B9> 4.9T","<U+20B9> 6.1T","Buy on CoinSwitch &plus;6 options"
"5","Ripple(XRP)","<U+20B9> 89.43","<U+25BC>
                  -7.27               -7.52%","<U+20B9> 3.9T","<U+20B9> 444.3B","Buy on CoinSwitch &plus;7 options"
"6","Dogecoin(DOGE)","<U+20B9> 22.48","<U+25BC>
                  -1.94               -7.93%","<U+20B9> 2.7T","<U+20B9> 248.8B","Buy on CoinSwitch &plus;7 options"
"7","Polkadot(DOT)","<U+20B9> 1,983.46","<U+25BC>
                  -155.27               -7.26%","<U+20B9> 1.8T","<U+20B9> 169.8B","Buy on CoinSwitch &plus;5 options"
"8","Uniswap(UNI)","<U+20B9> 2,065.77","<U+25BC>
                  -161.40               -7.25%","<U+20B9> 1.2T","<U+20B9> 32.2B","Buy on CoinSwitch &plus;5 options"
"9","Bitcoin Cash(BCH)","<U+20B9> 46,999","<U+25BC>
                  -2,987.25               -5.98%","<U+20B9> 885.3B","<U+20B9> 4.8B","Buy on Binance &plus;6 options"
"10","Chainlink(LINK)","<U+20B9> 2,031.90","<U+25BC>
                  -186.20               -8.39%","<U+20B9> 846.1B","<U+20B9> 116.0B","Buy on CoinSwitch &plus;7 options"
