"","Coin.Name..Code.","Price","Change..24h.","Market.Cap","Volume..24h.","Buy.Coin"
"1","Bitcoin(BTC)","<U+20B9> 37,65,441","<U+25B2>
                  +92,535               +2.52%","<U+20B9> 65.5T","<U+20B9> 2.2T","Buy on CoinSwitch &plus;9 options"
"2","Ethereum(ETH)","<U+20B9> 2,50,407","<U+25B2>
                  +7,318               +3.01%","<U+20B9> 26.9T","<U+20B9> 1.2T","Buy on CoinSwitch &plus;8 options"
"3","Cardano(ADA)","<U+20B9> 220.55","<U+25B2>
                  +20.84               +10.43%","<U+20B9> 6.2T","<U+20B9> 446.9B","Buy on CoinSwitch &plus;7 options"
"4","Tether(USDT)","<U+20B9> 77.18","<U+25BC>
                  -1.50               -1.90%","<U+20B9> 4.8T","<U+20B9> 5.3T","Buy on CoinSwitch &plus;6 options"
"5","Ripple(XRP)","<U+20B9> 90.19","<U+25B2>
                  +5.44               +6.42%","<U+20B9> 3.8T","<U+20B9> 353.4B","Buy on CoinSwitch &plus;7 options"
"6","Dogecoin(DOGE)","<U+20B9> 22.56","<U+25B2>
                  +1.37               +6.47%","<U+20B9> 2.6T","<U+20B9> 159.7B","Buy on CoinSwitch &plus;7 options"
"7","Polkadot(DOT)","<U+20B9> 2,015.84","<U+25B2>
                  +72.11               +3.71%","<U+20B9> 1.8T","<U+20B9> 128.2B","Buy on CoinSwitch &plus;5 options"
"8","Uniswap(UNI)","<U+20B9> 2,092.14","<U+25B2>
                  +70.30               +3.48%","<U+20B9> 1.2T","<U+20B9> 28.0B","Buy on CoinSwitch &plus;5 options"
"9","Bitcoin Cash(BCH)","<U+20B9> 46,510","<U+25B2>
                  +1,798.35               +4.02%","<U+20B9> 876.6B","<U+20B9> 3.2B","Buy on Binance &plus;6 options"
"10","Litecoin(LTC)","<U+20B9> 13,470","<U+25B2>
                  +286               +2.17%","<U+20B9> 831.6B","<U+20B9> 178.2B","Buy on CoinSwitch &plus;7 options"
"11","Chainlink(LINK)","<U+20B9> 1,988.26","<U+25B2>
                  +74.38               +3.89%","<U+20B9> 815.0B","<U+20B9> 92.2B","Buy on CoinSwitch &plus;7 options"
"12","Stellar(XLM)","<U+20B9> 27.2","<U+25B2>
                  +0.67               +2.54%","<U+20B9> 584.7B","<U+20B9> 44.3B","Buy on CoinSwitch &plus;6 options"
"13","TRON(TRX)","<U+20B9> 6.73","<U+25B2>
                  +0.24               +3.71%","<U+20B9> 443.6B","<U+20B9> 89.9B","Buy on CoinSwitch &plus;7 options"
"14","Monero(XMR)","<U+20B9> 21,059","<U+25B2>
                  +549.79               +2.68%","<U+20B9> 407.8B","<U+20B9> 7,09,765","Buy on Bitbns &plus;4 options"
"15","EOS(EOS)","<U+20B9> 386.16","<U+25B2>
                  +16.94               +4.59%","<U+20B9> 338.4B","<U+20B9> 132.5B","Buy on CoinSwitch &plus;6 options"
"16","Cosmos(ATOM)","<U+20B9> 1,543.90","<U+25B2>
                  +139.26               +9.91%","<U+20B9> 302.2B","<U+20B9> 29.5B","Buy on CoinSwitch &plus;4 options"
"17","NEO(NEO)","<U+20B9> 4,197.93","<U+25B2>
                  +233.10               +5.88%","<U+20B9> 270.1B","<U+20B9> 38.3B","Buy on CoinSwitch &plus;5 options"
"18","Bitcoin SV(BSV)","<U+20B9> 11,870","<U+25B2>
                  +376.58               +3.28%","<U+20B9> 223.2B","<U+20B9> 301.0M","Buy on Coinbase &plus;2 options"
