"","Coin.Name..Code.","Price","Change..24h.","Market.Cap","Volume..24h.","Buy.Coin"
"1","Bitcoin(BTC)","<U+20B9> 37,13,346","<U+25BC>
                  -55,537               -1.47%","<U+20B9> 66.0T","<U+20B9> 2.4T","Buy on CoinSwitch &plus;9 options"
"2","Ethereum(ETH)","<U+20B9> 2,46,429","<U+25BC>
                  -3,061               -1.23%","<U+20B9> 27.0T","<U+20B9> 1.5T","Buy on CoinSwitch &plus;8 options"
"3","Cardano(ADA)","<U+20B9> 206.6","<U+25BC>
                  -9.84               -4.56%","<U+20B9> 6.3T","<U+20B9> 688.8B","Buy on CoinSwitch &plus;7 options"
"4","Tether(USDT)","<U+20B9> 79.50","<U+25B2>
                  +0.95               +1.21%","<U+20B9> 4.9T","<U+20B9> 6.1T","Buy on CoinSwitch &plus;6 options"
"5","Ripple(XRP)","<U+20B9> 89.26","<U+25BC>
                  -1.67               -1.84%","<U+20B9> 3.9T","<U+20B9> 444.3B","Buy on CoinSwitch &plus;7 options"
"6","Dogecoin(DOGE)","<U+20B9> 21.95","<U+25BC>
                  -1               -4.35%","<U+20B9> 2.7T","<U+20B9> 248.8B","Buy on CoinSwitch &plus;7 options"
"7","Polkadot(DOT)","<U+20B9> 1,962.82","<U+25BC>
                  -75.53               -3.71%","<U+20B9> 1.8T","<U+20B9> 169.8B","Buy on CoinSwitch &plus;5 options"
"8","Uniswap(UNI)","<U+20B9> 2,058.24","<U+25BC>
                  -44.19               -2.10%","<U+20B9> 1.2T","<U+20B9> 32.2B","Buy on CoinSwitch &plus;5 options"
"9","Bitcoin Cash(BCH)","<U+20B9> 45,832","<U+25BC>
                  -2,319.91               -4.82%","<U+20B9> 864.5B","<U+20B9> 4.4B","Buy on Binance &plus;6 options"
"10","Chainlink(LINK)","<U+20B9> 1,999.89","<U+25BC>
                  -74.86               -3.61%","<U+20B9> 846.1B","<U+20B9> 116.0B","Buy on CoinSwitch &plus;7 options"
"11","Litecoin(LTC)","<U+20B9> 13,466","<U+25BC>
                  -342               -2.48%","<U+20B9> 845.8B","<U+20B9> 149.1B","Buy on CoinSwitch &plus;7 options"
"12","Stellar(XLM)","<U+20B9> 27.10","<U+25BC>
                  -0.84               -3.00%","<U+20B9> 601.0B","<U+20B9> 49.6B","Buy on CoinSwitch &plus;6 options"
"13","TRON(TRX)","<U+20B9> 6.67","<U+25BC>
                  -0.10               -1.43%","<U+20B9> 443.3B","<U+20B9> 102.6B","Buy on CoinSwitch &plus;7 options"
"14","Monero(XMR)","<U+20B9> 20,500","<U+25BC>
                  -3,280.78               -13.80%","<U+20B9> 395.5B","<U+20B9> 1.9M","Buy on Bitbns &plus;4 options"
"15","EOS(EOS)","<U+20B9> 392.8","<U+25BC>
                  -10.60               -2.63%","<U+20B9> 351.5B","<U+20B9> 132.6B","Buy on CoinSwitch &plus;6 options"
"16","Cosmos(ATOM)","<U+20B9> 1,458.36","<U+25BC>
                  -105.87               -6.77%","<U+20B9> 305.3B","<U+20B9> 40.0B","Buy on CoinSwitch &plus;4 options"
"17","NEO(NEO)","<U+20B9> 4,233.83","<U+25BC>
                  -163.56               -3.72%","<U+20B9> 278.3B","<U+20B9> 49.7B","Buy on CoinSwitch &plus;5 options"
"18","Bitcoin SV(BSV)","<U+20B9> 11,668","<U+25BC>
                  -433.33               -3.58%","<U+20B9> 219.7B","<U+20B9> 26.6B","Buy on CoinMarketCap &plus;2 options"
"19","IOTA(MIOTA)","<U+20B9> 74.75","<U+25BC>
                  -4.26               -5.39%","<U+20B9> 209.2B","<U+20B9> 5.8B","Buy on BuyUcoin &plus;1 option"
"20","Shiba Inu(SHIB)","<U+20B9> 0.000529","<U+25BC>
                  -0.000035               -6.15%","<U+20B9> 209.1B","<U+20B9> 6.5B","Buy on Binance &plus;4 options"
"21","Elrond(EGLD)","<U+20B9> 10,991","<U+25B2>
                  +185.21               +1.71%","<U+20B9> 189.6B","<U+20B9> 7.3B","Buy on CoinSwitch &plus;4 options"
"22","Dash(DASH)","<U+20B9> 19,268","<U+25BC>
                  -722               -3.61%","<U+20B9> 184.0B","<U+20B9> 34.8B","Buy on CoinSwitch &plus;5 options"
"23","Zcash(ZEC)","<U+20B9> 11,131","<U+25BC>
                  -598.5               -5.10%","<U+20B9> 139.7B","<U+20B9> 2.7B","Buy on Binance &plus;3 options"
"24","NEM(XEM)","<U+20B9> 15.43","<U+25BC>
                  -0.49               -3.07%","<U+20B9> 128.3B","<U+20B9> 8.1B","Buy on CoinSwitch &plus;5 options"
"25","Zilliqa(ZIL)","<U+20B9> 8.72","<U+25B2>
                  +0.14               +1.61%","<U+20B9> 89.6B","<U+20B9> 12.9B","Buy on CoinSwitch &plus;6 options"
"26","Qtum(QTUM)","<U+20B9> 895.71","<U+25BC>
                  -57.59               -6.04%","<U+20B9> 88.5B","<U+20B9> 2.2B","Buy on Binance &plus;3 options"
"27","Augur(REP)","<U+20B9> 2,128.10","<U+25BC>
                  -100.85               -4.52%","<U+20B9> 21.8B","<U+20B9> 4.0B","Buy on CoinSwitch &plus;4 options"
"28","Baby Doge Coin(BABYDOGE)","<U+20B9> 0.00000009","<U+25BC>
                  0.00000000               -3.49%","<U+20B9> 17.1B","<U+20B9> 347.8M","Buy on CoinMarketCap &plus;1 option"
"29","DIA(DIA)","<U+20B9> 151.98","<U+25BC>
                  -7.95               -4.97%","<U+20B9> 5.9B","<U+20B9> 1.7B","Buy on CoinSwitch &plus;3 options"
"30","Bitcoin Hedge(BTCHG)","<U+20B9> 222.78","<U+25BC>
                  -0.08               -0.04%","-","<U+20B9> 0.00000001","Buy on CoinMarketCap &plus;1 option"
