"","Coin.Name..Code.","Price","Change..24h.","Market.Cap","Volume..24h.","Buy.Coin"
"1","Bitcoin(BTC)","<U+20B9> 37,66,965","<U+25B2>
                  +87,998               +2.39%","<U+20B9> 65.5T","<U+20B9> 2.2T","Buy on CoinSwitch &plus;9 options"
"2","Ethereum(ETH)","<U+20B9> 2,50,299","<U+25B2>
                  +7,277               +2.99%","<U+20B9> 26.9T","<U+20B9> 1.2T","Buy on CoinSwitch &plus;8 options"
"3","Cardano(ADA)","<U+20B9> 220.70","<U+25B2>
                  +20.15               +10.05%","<U+20B9> 6.2T","<U+20B9> 446.9B","Buy on CoinSwitch &plus;7 options"
"4","Tether(USDT)","<U+20B9> 77.17","<U+25BC>
                  -1.67               -2.12%","<U+20B9> 4.8T","<U+20B9> 5.3T","Buy on CoinSwitch &plus;6 options"
"5","Ripple(XRP)","<U+20B9> 90.47","<U+25B2>
                  +5.90               +6.98%","<U+20B9> 3.8T","<U+20B9> 353.4B","Buy on CoinSwitch &plus;7 options"
"6","Dogecoin(DOGE)","<U+20B9> 22.60","<U+25B2>
                  +1.41               +6.66%","<U+20B9> 2.6T","<U+20B9> 159.7B","Buy on CoinSwitch &plus;7 options"
"7","Polkadot(DOT)","<U+20B9> 2,018.8","<U+25B2>
                  +101.52               +5.30%","<U+20B9> 1.8T","<U+20B9> 128.2B","Buy on CoinSwitch &plus;5 options"
"8","Uniswap(UNI)","<U+20B9> 2,095.17","<U+25B2>
                  +73.4               +3.61%","<U+20B9> 1.2T","<U+20B9> 28.0B","Buy on CoinSwitch &plus;5 options"
"9","Bitcoin Cash(BCH)","<U+20B9> 46,621","<U+25B2>
                  +1,961.90               +4.39%","<U+20B9> 879.7B","<U+20B9> 3.2B","Buy on Binance &plus;6 options"
"10","Litecoin(LTC)","<U+20B9> 13,480","<U+25B2>
                  +276               +2.09%","<U+20B9> 831.6B","<U+20B9> 178.2B","Buy on CoinSwitch &plus;7 options"
"11","Chainlink(LINK)","<U+20B9> 1,993.51","<U+25B2>
                  +82.12               +4.30%","<U+20B9> 815.0B","<U+20B9> 92.2B","Buy on CoinSwitch &plus;7 options"
"12","Stellar(XLM)","<U+20B9> 27.13","<U+25B2>
                  +0.78               +2.95%","<U+20B9> 584.7B","<U+20B9> 44.3B","Buy on CoinSwitch &plus;6 options"
"13","TRON(TRX)","<U+20B9> 6.74","<U+25B2>
                  +0.24               +3.74%","<U+20B9> 443.6B","<U+20B9> 89.9B","Buy on CoinSwitch &plus;7 options"
"14","Monero(XMR)","<U+20B9> 21,083","<U+25B2>
                  +574.9               +2.80%","<U+20B9> 410.5B","<U+20B9> 7,11,023","Buy on Bitbns &plus;4 options"
"15","EOS(EOS)","<U+20B9> 386.99","<U+25B2>
                  +17.48               +4.73%","<U+20B9> 338.4B","<U+20B9> 132.5B","Buy on CoinSwitch &plus;6 options"
"16","Cosmos(ATOM)","<U+20B9> 1,551.73","<U+25B2>
                  +149.1               +10.62%","<U+20B9> 302.2B","<U+20B9> 29.5B","Buy on CoinSwitch &plus;4 options"
"17","NEO(NEO)","<U+20B9> 4,209.99","<U+25B2>
                  +256.53               +6.49%","<U+20B9> 270.1B","<U+20B9> 38.3B","Buy on CoinSwitch &plus;5 options"
"18","Bitcoin SV(BSV)","<U+20B9> 11,868","<U+25B2>
                  +360.67               +3.13%","<U+20B9> 222.8B","<U+20B9> 301.0M","Buy on Coinbase &plus;2 options"
"19","Shiba Inu(SHIB)","<U+20B9> 0.000542","<U+25B2>
                  +0.000031               +6.16%","<U+20B9> 215.1B","<U+20B9> 5.2B","Buy on Binance &plus;4 options"
"20","IOTA(MIOTA)","<U+20B9> 75.5","<U+25B2>
                  +2.46               +3.39%","<U+20B9> 209.9B","<U+20B9> 4.8B","Buy on BuyUcoin &plus;1 option"
"21","Elrond(EGLD)","<U+20B9> 10,865","<U+25B2>
                  +529.28               +5.12%","<U+20B9> 192.2B","<U+20B9> 6.7B","Buy on CoinSwitch &plus;4 options"
"22","Dash(DASH)","<U+20B9> 18,488","<U+25B2>
                  +648               +3.63%","<U+20B9> 174.9B","<U+20B9> 28.1B","Buy on CoinSwitch &plus;5 options"
"23","Zcash(ZEC)","<U+20B9> 11,017","<U+25B2>
                  +486.93               +4.62%","<U+20B9> 138.2B","<U+20B9> 2.3B","Buy on Binance &plus;3 options"
"24","NEM(XEM)","<U+20B9> 15.27","<U+25B2>
                  +0.61               +4.18%","<U+20B9> 125.1B","<U+20B9> 5.9B","Buy on CoinSwitch &plus;5 options"
"25","Zilliqa(ZIL)","<U+20B9> 8.65","<U+25B2>
                  +0.45               +5.43%","<U+20B9> 95.6B","<U+20B9> 11.9B","Buy on CoinSwitch &plus;6 options"
"26","Qtum(QTUM)","<U+20B9> 929.48","<U+25B2>
                  +79.61               +9.37%","<U+20B9> 92.1B","<U+20B9> 1.4B","Buy on Binance &plus;3 options"
"27","Augur(REP)","<U+20B9> 2,219.95","<U+25B2>
                  +180.47               +8.85%","<U+20B9> 21.3B","<U+20B9> 2.9B","Buy on CoinSwitch &plus;4 options"
"28","Baby Doge Coin(BABYDOGE)","<U+20B9> 0.00000009","<U+25BC>
                  0.00000000               -4.40%","<U+20B9> 17.1B","<U+20B9> 299.4M","Buy on CoinMarketCap &plus;1 option"
"29","DIA(DIA)","<U+20B9> 155.40","<U+25B2>
                  +4.15               +2.74%","<U+20B9> 5.9B","<U+20B9> 1.4B","Buy on CoinSwitch &plus;3 options"
"30","Bitcoin Hedge(BTCHG)","<U+20B9> 220.59","<U+25BC>
                  -1.98               -0.89%","-","<U+20B9> 0.00000001","Buy on CoinMarketCap &plus;1 option"
