"","Coin.Name..Code.","Price","Change..24h.","Market.Cap","Volume..24h.","Buy.Coin"
"1","Bitcoin(BTC)","<U+20B9> 37,47,460","<U+25B2>
                  +83,044               +2.27%","<U+20B9> 65.5T","<U+20B9> 2.2T","Buy on CoinSwitch &plus;9 options"
"2","Ethereum(ETH)","<U+20B9> 2,50,921","<U+25B2>
                  +6,755               +2.77%","<U+20B9> 26.9T","<U+20B9> 1.2T","Buy on CoinSwitch &plus;8 options"
"3","Cardano(ADA)","<U+20B9> 221.83","<U+25B2>
                  +20.72               +10.30%","<U+20B9> 6.2T","<U+20B9> 446.9B","Buy on CoinSwitch &plus;7 options"
"4","Tether(USDT)","<U+20B9> 77.89","<U+25BC>
                  -0.76               -0.96%","<U+20B9> 4.8T","<U+20B9> 5.3T","Buy on CoinSwitch &plus;6 options"
"5","Ripple(XRP)","<U+20B9> 89.7","<U+25B2>
                  +3.40               +3.96%","<U+20B9> 3.8T","<U+20B9> 353.4B","Buy on CoinSwitch &plus;7 options"
"6","Dogecoin(DOGE)","<U+20B9> 22.18","<U+25B2>
                  +0.78               +3.66%","<U+20B9> 2.6T","<U+20B9> 159.7B","Buy on CoinSwitch &plus;7 options"
"7","Polkadot(DOT)","<U+20B9> 2,004.75","<U+25B2>
                  +98.99               +5.19%","<U+20B9> 1.8T","<U+20B9> 128.2B","Buy on CoinSwitch &plus;5 options"
"8","Uniswap(UNI)","<U+20B9> 2,120.37","<U+25B2>
                  +100.79               +4.99%","<U+20B9> 1.2T","<U+20B9> 28.0B","Buy on CoinSwitch &plus;5 options"
"9","Bitcoin Cash(BCH)","<U+20B9> 45,931","<U+25B2>
                  +424.12               +0.93%","<U+20B9> 866.2B","<U+20B9> 4.0B","Buy on Binance &plus;6 options"
"10","Litecoin(LTC)","<U+20B9> 13,573","<U+25B2>
                  +313               +2.36%","<U+20B9> 831.6B","<U+20B9> 178.2B","Buy on CoinSwitch &plus;7 options"
